"gene","pvalue"
"ENSG00000000003",0.028631322587842
"ENSG00000000419",0.0422631344748965
"ENSG00000000457",0.787123352280374
"ENSG00000000460",0.697652212088654
"ENSG00000000971",0.0886258633363991
"ENSG00000001036",0.0428887307798099
"ENSG00000001084",0.898335347808678
"ENSG00000001167",0.0202773219832915
"ENSG00000001460",0.418855270477739
"ENSG00000001461",0.883543532932817
"ENSG00000001497",0.979869639776265
"ENSG00000001561",0.755110785139618
"ENSG00000001617",0.148103207614118
"ENSG00000001626",0.0979777384771433
"ENSG00000001629",0.0853557200866557
"ENSG00000001630",0.967579682508334
"ENSG00000001631",0.735590111365864
"ENSG00000002016",0.054891084117659
"ENSG00000002079",0.193793365096675
"ENSG00000002330",0.534228028718832
"ENSG00000002549",0.281716026380689
"ENSG00000002586",0.470710369066695
"ENSG00000002745",0.770807332552225
"ENSG00000002746",0.704119553103049
"ENSG00000002822",0.237757773775384
"ENSG00000002834",9.54071601165691e-05
"ENSG00000002919",0.00765117826289533
"ENSG00000002933",0.777092917361974
"ENSG00000003056",0.434632383830947
"ENSG00000003096",8.56995447880054e-07
"ENSG00000003137",0.0364545740334899
"ENSG00000003249",0.318477574503399
"ENSG00000003393",0.270698939578034
"ENSG00000003400",0.294968107407607
"ENSG00000003402",4.48630220224161e-13
"ENSG00000003436",0.274933803892666
"ENSG00000003509",0.669869074039739
"ENSG00000003756",0.039774321970127
"ENSG00000003987",0.00250494487136238
"ENSG00000003989",0.315752156999386
"ENSG00000004059",0.000377574877667845
"ENSG00000004139",0.365969711534951
"ENSG00000004142",0.237547028843392
"ENSG00000004399",0.956828140238169
"ENSG00000004455",0.757887572851061
"ENSG00000004468",0.352803317066286
"ENSG00000004478",0.567052607473058
"ENSG00000004487",0.00029743453546197
"ENSG00000004534",0.162523496236857
"ENSG00000004660",0.0634441573307188
"ENSG00000004700",0.00163069164283988
"ENSG00000004766",0.757131005125867
"ENSG00000004776",0.796267835042766
"ENSG00000004777",0.18409047981309
"ENSG00000004779",0.480548273760728
"ENSG00000004799",0.00475870523788956
"ENSG00000004838",0.341922811853521
"ENSG00000004846",0.00727109081119886
"ENSG00000004864",0.976914830519166
"ENSG00000004866",0.00108241613816767
"ENSG00000004897",0.470808531126035
"ENSG00000004961",0.296437546914825
"ENSG00000004975",0.0758964006814977
"ENSG00000005007",0.00392333151872075
"ENSG00000005020",0.292760674792998
"ENSG00000005022",0.757290321222972
"ENSG00000005059",0.627394153998352
"ENSG00000005075",0.614356826035711
"ENSG00000005100",0.00496893669497251
"ENSG00000005108",0.259726933815289
"ENSG00000005156",0.227192055152362
"ENSG00000005175",0.395085352725814
"ENSG00000005187",0.96977592500665
"ENSG00000005189",0.234549668249552
"ENSG00000005194",0.172105501393964
"ENSG00000005206",0.475734931831012
"ENSG00000005238",0.128954319043463
"ENSG00000005243",0.545620905614931
"ENSG00000005249",0.00273667604659091
"ENSG00000005302",0.267149436340657
"ENSG00000005339",0.446146084000142
"ENSG00000005379",0.312087955052273
"ENSG00000005381",0.999414803027221
"ENSG00000005436",0.289957583231969
"ENSG00000005448",0.0537089591555596
"ENSG00000005469",0.368720332285684
"ENSG00000005471",0.00510387454637425
"ENSG00000005483",0.449319133924425
"ENSG00000005486",0.524590646064855
"ENSG00000005513",0.259455422404183
"ENSG00000005700",0.702148805789032
"ENSG00000005801",0.0595146972461371
"ENSG00000005810",0.828602811080563
"ENSG00000005812",0.00451706158243841
"ENSG00000005882",0.641686748721983
"ENSG00000005884",0.201185729074586
"ENSG00000005889",0.680447177515409
"ENSG00000005893",0.42412483729089
"ENSG00000005955",0.313626789682734
"ENSG00000005961",0.722940942113219
"ENSG00000006007",0.201215993304698
"ENSG00000006015",0.850805394662387
"ENSG00000006016",0.64380229324121
"ENSG00000006025",0.000211472323373792
"ENSG00000006042",0.768802545673267
"ENSG00000006062",0.0144558267807199
"ENSG00000006114",4.43169803548979e-07
"ENSG00000006118",0.010516543342943
"ENSG00000006125",0.675281020851003
"ENSG00000006194",0.374467913201128
"ENSG00000006210",0.105887625010559
"ENSG00000006282",0.487888918572038
"ENSG00000006283",0.0117161071717952
"ENSG00000006327",0.676252865438388
"ENSG00000006432",0.731866523404444
"ENSG00000006451",0.00247146930236308
"ENSG00000006453",0.244957223492914
"ENSG00000006459",0.954674218819862
"ENSG00000006468",0.441803497273173
"ENSG00000006530",0.97127780429647
"ENSG00000006534",0.135606023248265
"ENSG00000006576",0.0305458662868228
